Animal Name;Animal Type;Skin;Age;
BRUNO;DOG;CREAM;5;
*ELBIE;CAT;GRAY;6;
PEPE;DOG;BLONDE;6;
SNUGGLES;GUINEA PIG;WHITE;9;
BEAN;CAT;GRAY TABBY;4;
*AKITA;CAT;TORTIE;0;
TWIN 2;DOG;WHITE;1;
BIG MAMA;DOG;TRICOLOR;0;
SQUISHIE;DOG;TAN;1;
FAT BOY;DOG;BLACK;1;SsS
DIANA ROSS;DOG;TRICOLOR;1;
COOKIE;DOG;BLACK;8;
SONIA;CAT;BLACK;8;
*SAMANTHA;CAT;BRN TABBY;3;
JUNIOR;DOG;BUFF;8;
LITTLE BIT;DOG;TAN;15;
*HANNAH;DOG;BROWN;11;
*OVAL;CAT;BRN TABBY;0;
CUPCAKE;CAT;GRAY;7;
SPIRIT;CAT;TORTIE;6;
SIMON;CAT;BLACK;5;
CHARLIE;CAT;WHITE;0;
*FIG NEWTON;CAT;ORG TABBY;4;
*JESSE;CAT;CALICO;7;
LUKE;CAT;LI LYNX PT;8;
OSCAR;CAT;ORG TABBY;10;
TOBY;CAT;SNOWSHOE;8;
FLOYD;DOG;BR BRINDLE;2;
BABY;DOG;BLACK;6;
BEAR;DOG;BLACK;10;
MOCHI;DOG;BLACK;10;
*EDEE;CAT;BLACK;1;
*FEZZIK;CAT;GRAY TABBY;1;
BROWNIE;DOG;TAN;11;
KITTY;CAT;CALICO;1;
KODA;DOG;GRAY;4;
SUKI/FELINA;CAT;CALICO;1;
SPOT;DOG;BROWN;8;
BELLA;DOG;TAN;10;
ZUS;DOG;BROWN;13;
FOUND;CAT;ORANGE;1;
*TAZ;CAT;BRN TABBY;3;
*SOUTHPAW;DOG;BLACK;3;
SCOOBY;DOG;TAN;11;
BROWNIE;DOG;BROWN;15;
*BOBBY;CAT;GRAY;4;
*RAVIOLI;CAT;BRN TABBY;9;
JACK;DOG;WHITE;1;
*CORNCHIP;CAT;ORANGE;6;
*REBECCA BUCK;DOG;BLACK;2;
FERNANDO;CAT;CREAM;1;
HOODRAT;DOG;TRICOLOR;6;
TINY;DOG;WHITE;5;
SCOTT;DOG;BROWN;9;
*A640971;CAT;BLACK;4;
*MOONBEAM;CAT;BLACK;6;
BUDDY;DOG;TAN;9;
BRANDY;DOG;RED;10;
*ORSON;DOG;BLACK;7;
*JASMINE;CAT;LYNX PT;3;
*STAR;CAT;BLACK;5;
*LUCILLE;DOG;TAN;10;
*GINGER;DOG;BROWN;7;
*WANDA;CAT;BLACK;7;
*FOXY ROXY;DOG;BROWN;4;
ZEUS;DOG;BLACK;6;
*ROSE;CAT;BRN TABBY;3;
*SPARROW;CAT;GRAY;1;
MAN MAN;DOG;BLACK;8;
*MAXWELL;DOG;TAN;10;
*HANDSOME;DOG;BROWN;2;
*KYLE;DOG;BLACK;2;
*BISCUIT;CAT;TORTIE;1;
*STEADMAN;DOG;BLACK;5;
*PRESTON;DOG;GRAY;3;
LUNA;GUINEA PIG;BLACK;6;
*JOEY;DOG;BLACK;11;
*BYRON;DOG;RED;8;
VENUS;GUINEA PIG;BROWN;7;
*MISTY;CAT;BLACK;0;
SUEDE;DOG;BLUE;9;
A644675;CAT;BLACK;4;
*ZEPPLIN;CAT;BLACK;3;
MANGO;CAT;ORG TABBY;6;
*THOMAS;DOG;TAN;3;
*BERRY;CAT;BLACK;2;
*TOPAZ;DOG;BLACK;5;
*WESTLEY;DOG;CREAM;2;
*MONTREAL;DOG;GRAY;2;
*CASPER;DOG;WHITE;7;
QUEEN;DOG;WHITE;10;
MONTANA;DOG;BROWN;15;
ROCKY;DOG;WHITE;4;
BABY GIRL;DOG;GRAY;13;
*OLIVE;CAT;GRAY TABBY;0;
*HAMMY;DOG;BR BRINDLE;7;
*MOCKINGBIRD;CAT;BLACK;4;
*FISHER;CAT;WHITE;4;
*PONGO;CAT;WHITE;4;
*CHAI;DOG;WHITE;1;
*HIBISCUS;DOG;BLACK;1;
*PRINCESS BUTTERCUP;CAT;CALICO;0;
*PRINCESS LILLY;CAT;BLACK;0;
*BRIOCHE;CAT;ORANGE;0;
*CIABATTA;CAT;BLACK;0;
*GARY;DOG;BLACK;0;
*FIONA;CAT;BRN TABBY;3;
MYLO;DOG;BROWN;5;
MIKO;DOG;BROWN;5;
*ADAM;CAT;ORG TABBY;7;
*YU-JIN;CAT;BRN TABBY;7;
*COCONUT;CAT;BRN TABBY;6;
*SLIPPER;CAT;BRN TABBY;0;
*SLIPPER;CAT;BRN TABBY;0;
*CROCS;CAT;CALICO;0;
*DJ;DOG;BROWN;10;
CATNESS;CAT;GRAY;8;
A628228*LOU;CAT;GRAY;7;
JAYDA;DOG;TAN;10;
MUDD;CAT;ORANGE;3;
*POMELLA;DOG;TAN;10;
JUNE;DOG;BLUE;10;
*SNOOPY;CAT;GRAY;3;
*UZIMAKI;CAT;BLACK;0;
*KRISSY;RABBIT;BLACK;0;
MARLEY;DOG;BLACK;1;
*MOMO;CAT;BLACK;6;
*MIKE;CAT;BRN TABBY;6;
*BECK;CAT;BLACK;1;
*PEARL;CAT;BLACK;1;
*WENDI;CAT;GRAY;0;
*BOWSER;CAT;BLACK;0;
*TOADETTE;CAT;BLACK;0;
*ROSALINA;CAT;BLACK;1;
*MARIO;CAT;ORANGE;0;
BENJIMEN;DOG;BLACK;17;
*FINCH;DOG;BLACK;2;
KIRBY;CAT;BLACK;1;
LOKI;DOG;TAN;9;
*TOULOUSE;RABBIT;WHITE;0;
*HORSERADISH;CAT;GRAY;3;
TOUCHE;DOG;TRICOLOR;11;
A638481*JANUARY;CAT;BRN TABBY;4;
LEO;CAT;ORG TABBY;6;
LUNA;CAT;BRN TABBY;6;
*DARK PIT;CAT;BLACK;9;
*CAPPER;CAT;BRN TABBY;5;
DEXTER;DOG;BLACK;6;
BLU;DOG;BROWN;11;
CANELO;DOG;CHOCOLATE;8;
PUMA;DOG;BLACK;11;
CHICA;DOG;BROWN;10;
TOBLERONE;DOG;TAN;10;
*LIL ONE;CAT;CALICO DIL;6;
*SCHNOODLES;CAT;GRAY;2;
LOTUS;DOG;WHITE;6;
HAZEL;DOG;CHOCOLATE;12;
*DEZNA;CAT;BRN TABBY;7;
*DARLING;CAT;LYNX PT;2;
*VIOLIN;CAT;BLACK;4;
LULU;CAT;TRICOLOR;7;
*TAMMY;DOG;TAN;6;
LUCKY;DOG;BLACK;13;
*GOLDIE;CAT;GRAY;1;
*SILVER;CAT;GRAY;1;
LOCA;DOG;BLACK;12;
*VEGA;CAT;GRAY;7;
*PETER;DOG;GRAY;8;
*SIERRA;CAT;TORTIE DIL;4;
*DASANI;CAT;BLACK;4;
*EVIAN;CAT;BLACK;4;
*SCONE;CAT;GRAY TABBY;3;
LADY;DOG;WHITE;10;
JENNIFER;CAT;GRAY;6;
MICKY;DOG;BLACK;6;
*JENKINS;DOG;WHITE;14;
*PRISCILLA;CAT;TORTIE;2;
TEDDY;CAT;GRAY TABBY;1;
COCO;DOG;WHITE;10;
*FLEEK;RABBIT;BLACK;2;
ANGEL;DOG;GOLD;10;
*SADIE;DOG;TAN;10;
*GALE;CAT;BLACK;2;
*MAYA;DOG;TRICOLOR;1;
*PINKIE;CAT;BRN TABBY;2;
*CARISSA;CAT;TORBI;2;
*AMBER;CAT;BRN TABBY;2;
*SIMONE;CAT;BLACK;7;
*HUXLEY;CAT;BLACK;4;
*ENRIQUE;CAT;GRAY;0;
*DRAKE;CAT;SNOWSHOE;0;
*AVRIL;CAT;BRN TABBY;0;
*STORM;CAT;GRAY TABBY;2;
*LISETTE;DOG;BLACK;9;
*BAMBI;CAT;BRN TABBY;10;
*TIGER LILY;CAT;BRN TABBY;0;
*KATZE;CAT;WHITE;0;
IRENE;CAT;BLACK;5;
BOOGIE;DOG;BLACK;6;
